24840325.134229,-1339014.796571,16834998.191670,-5441709.293030,-12179425.997374,7206866.073856,179936412.750981,0
15046632.992541,1121030.593904,17617785.689033,62266.790082,-10227602.113951,-21736494.042696,-24209439.012602,4
12162979.183855,-2279551.937757,11552441.452599,-120189345.632298,27916222.113871,-21777148.224038,74587069.342180,0
17947604.983872,-945489.775080,24247644.609440,-187586391.835098,-8035645.191138,12005978.260257,-24760056.897221,2
11407467.089193,511320.077576,10668492.999321,1106509.820825,-13330619.858454,-8911350.846201,-16217811.208379,0
17511325.568904,3602841.355491,21754381.953358,-2613219.829439,-23906353.736523,-40154012.062570,-3964499.185844,4
12981378.589468,1662759.601338,12199182.164300,15056983.081477,-21819543.122221,-10376861.184641,-6515913.025294,0
11389833.972622,534154.340699,10650855.783128,-1238688.487765,-8685606.035541,-4654518.140900,-13493100.369494,0
24036007.400678,-1280927.156420,16675464.587104,-3706635.970540,-11746123.015294,7740149.540505,189726027.411435,0
17511325.568904,3602841.355491,21754381.953358,-2613219.829439,-23906353.736523,-40154012.062570,-3964499.185844,3
5774953.757606,-1338217.215010,5838052.332165,-23589918.806245,-6908095.857340,2813383.043045,19498896.763132,0
15379970.118763,1402360.579480,17879640.079776,-23551029.364920,-15498711.574032,-30924917.526602,-24187029.097581,3
11554581.448373,880904.955614,10864333.435948,1149066.810218,-15616398.433576,-13064236.182598,-15002731.069061,0
17902515.478163,-1059696.273892,25109128.067919,-190205378.032331,7095.394451,11511540.335754,-16763332.963317,1
52856254.342404,119445.304770,53364462.781896,-8552187.379848,4093281.460219,4194880.955604,1418175.275383,2
50805192.178550,-29537.778746,50597263.001121,6362488.343534,-5689440.067810,-2253627.521623,-256808.438418,0
56127225.110260,1971396.656384,56063738.974594,74054087.961393,-461740.978672,-17495705.357747,53082533.137737,0
50833684.943211,-4518.019034,50594617.739167,-5290456.339955,-5705377.717254,-6461854.871151,-78698.434841,0
56127225.110260,1971396.656384,56063738.974594,74054087.961393,-461740.978672,-17495705.357747,53082533.137737,0
50833684.943211,-4518.019034,50594617.739167,-5290456.339955,-5705377.717254,-6461854.871151,-78698.434841,0
